SAMPLE_NO.	DOG'S_NAME	BREED	SEX	WEIGHT
1	COSMO	LABRADOODLE	MALE	28_lbs
2	KIKI	LABRADOODLE	FEMALE	35_lbs
3	FERDL	BERGER_PICARD	FEMALE	approx_60_lbs
4	JUAN_TON	PUG	FEMALE	17.5_lbs
5	KONA	PIT_BALL(AMERICAN_STRATFORDSHIRE_TERRIER)	FEMALE	82_lbs
6	MAXIMUS	GERMAN_SHEPHERD_&_HUSKY_MIX	MALE	80_lbs
7	PENELOPE	UNKNOWN_MUTT_FROM_THE_POUND	FEMALE	25_lbs
8	ABIGAIL	LABRADOR_RETRIEVER_(CHOCOLATE)	FEMALE	50_lbs
9	RONIN	HUSKY-PIT_BULL-LABRADOR	MALE	55_lbs
10	WOOKIE	POMERANIAN	FEMALE	10_lbs
11	ZIGGY	ANGIE_BUTLER	MALE	55_lbs
12	BELLA	CAVALIER_KING_CHARLES	FEMALE	20_lbs
13	MAYA	FRENCH_BULLDOG	FEMALE	13_lbs
14	BRUCE	GREAT_DANE	MALE	150_lbs
15	DACODA	CHOCOLATE_LABRADOR	MALE	-
16	CHARLIE	GOLDEN_RETRIEVER-LABRADOR-CHOW	MALE	92_lbs
17	LOLA	WEST_HIGHLAND_WHITE_TERRIER	FEMALE	19_lbs
18	ELLIE	MORKIEPOO_(MALTESE+YORKEE+POODLE)_	FEMALE	15_lbs
19	EASTON	GERMAN_SHEPHERD_MIX	MALE	70_lbs
20	HARRY	GOLDEN_DOODLE	MALE	38_lbs
21	POOKA	Unknown	MALE	-
22	JACK	HAVANESE	MALE	13_lbs
23	KONA	PORTUGUESE_WATER_DOG	FEMALE	35_lbs
24	CHARLIE	PORTUGUESE_WATER_DOG	FEMALE	42_lbs
25	KAZER	GERMAN_SHORTHAIRED_POINTER	MALE	63_lbs
26	CALI	YORKI_TERRIER	FEMALE	12_lbs
27	LEILA	BLOODHOUND	FEMALE	130_lbs
28	LOLA	AIREDALE_TERRIER	FEMALE	80_lbs
29	LILY	GERMAN_SHEPHERD_	FEMALE	73_lbs
30	WILLOW	GOLDEN_RETRIEVER	FEMALE	82_lbs
31	DOBY	MORKIE_	MALE	10_lbs
32	LILO	ROTTWEILER	FEMALE	75_lbs
33	LUCY	CHIHUAHUA_MIX	FEMALE	8_lbs
34	LUCKY_SHEA	CAVACHON	MALE	22_lbs
35	MEDWAY_SHEA	DACHSHUND	MALE	18_lbs
36	MONA_SHEA	DACHSHUND	FEMALE	17_lbs
37	SKY	FRENCH_BULLDOG	FEMALE	31_lbs
38	COOKIE	FRENCH_BULLDOG	FEMALE	19_lbs
39	LITTLE_MAME	FRENCH_BULLDOG	FEMALE	20_lbs
40	ROMEO	ISABELLE_LILLAC_(FRENCH_BULLDOG)_-_RARE	MALE	30_lbs
41	BRONSON	ROTTWEILER	MALE	115_lbs
42	MISHA	CAUCASIAN_SHEPHERD	MALE	170_lbs
43	LUCY	BICHON_FRISE_+_SHIH_TZU	FEMALE	11_lbs_
44	PICASSO	FRENCH_BULLDOG	MALE	30_lbs
45	LUNA	FRENCH_BULLDOG	FEMALE	26_lbs_
46	ASH	FRENCH_BULLDOG	MALE	30_lbs
47	OCEAN	FRENCH_BULLDOG	MALE	9_lbs
48	FERDL-2_replicate	BERGER_PICARD	FEMALE	approx_60_lbs
49	NEFERTARI	CHIHUAHUA_	FEMALE	6_lbs
50	COSMO-2_replicate	LABRADOODLE	MALE	28_lbs
51	KIKI-2_replicate	LABRADOODLE	FEMALE	35_lbs
52	JUANA	JACK_RUSSELL	FEMALE	10_lbs
53	BENTLEY_ASPENKINGSTON	PURE_BREED_MATTESE	MALE	5_lbs
54	MABEL	WHIPPET	FEMALE	24_lbs
55	YARRA	AUSTRALIAN_CATTLE_DOG_MIX_WITH_PITBULL_TERRIER	FEMALE	38_lbs
56	VIVA	CHIHUAHUA_MIX	FEMALE	11_lbs
57	INDIE	DOXIE_MIX	FEMALE	15.51_lbs
58	JUAN_TON_replicate_	PUG	FEMALE	17.5_lbs
59	PEANUT	PUG_+_CHIHUAHUA	MALE	10_lbs
60	ROXY	CHIHUAHUA_+_POMERANIAN	FEMALE	25_lbs
61	MOLLY	PUG_+_CHIHUAHUA	FEMALE	-
62	CHANCHI_ENRIQUE_SANDOVAL	BORDER_COLLIE	MALE	58_lbs
63	LA_WETTA_TAVALII	CHIHUAHUA	FEMALE	4_lbs
64	DRACO	LABRADOR_RETRIEVER	MALE	70_lbs
65	MAUDE	BEDLINGTON_TERRIER	FEMALE	19lbs
66	ATTICUS	BEDLINGTON_TERRIER	MALE	23_lbs
67	ARCHER	LABRADOR_RETRIEVER_(PURE_BRED)	MALE	105_lbs
69	DILIOS	BEAGLE	MALE	12_lbs
70	XERXES	CAIRN_TERRIER_MIX	MALE	18_lbs
